               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.045187,            0.064388,                   0,             0.56929,             0.54506,             0.53223,             0.20175,            0.053377,             0.10935,                   0,           0.0024714,           0.0024714,           0.0024714
                 149,            0.043535,            0.072169,                   0,             0.56929,             0.54506,             0.53223,             0.20175,            0.053377,             0.10935,                   0,           0.0024195,           0.0024195,           0.0024195
                 150,            0.043335,            0.071582,                   0,             0.53652,             0.52511,             0.52625,             0.20142,            0.052645,             0.10808,                   0,           0.0023684,           0.0023684,           0.0023684
                 151,            0.040923,            0.081583,                   0,             0.53652,             0.52511,             0.52625,             0.20142,            0.052645,             0.10808,                   0,            0.002318,            0.002318,            0.002318
                 152,            0.041961,              0.0708,                   0,             0.59001,             0.50515,             0.52808,             0.20686,             0.05128,             0.10862,                   0,           0.0022684,           0.0022684,           0.0022684
                 153,            0.042392,            0.058751,                   0,             0.49969,             0.56701,             0.51494,             0.20223,             0.05222,             0.10758,                   0,           0.0022196,           0.0022196,           0.0022196
                 154,            0.042557,            0.074898,                   0,             0.49969,             0.56701,             0.51494,             0.20223,             0.05222,             0.10758,                   0,           0.0021717,           0.0021717,           0.0021717
                 155,            0.041705,            0.069558,                   0,             0.50843,             0.61845,             0.54789,             0.22241,            0.051503,             0.10054,                   0,           0.0021245,           0.0021245,           0.0021245
                 156,            0.043254,            0.063674,                   0,             0.50843,             0.61845,             0.54789,             0.22241,            0.051503,             0.10054,                   0,           0.0020782,           0.0020782,           0.0020782
                 157,            0.040838,            0.068257,                   0,             0.49997,             0.61849,             0.54027,             0.21141,            0.050751,            0.099445,                   0,           0.0020327,           0.0020327,           0.0020327
                 158,            0.039709,              0.0636,                   0,             0.49997,             0.61849,             0.54027,             0.21141,            0.050751,            0.099445,                   0,           0.0019881,           0.0019881,           0.0019881
                 159,            0.039924,            0.072695,                   0,             0.50794,             0.63918,             0.56205,             0.22203,             0.05046,            0.097716,                   0,           0.0019443,           0.0019443,           0.0019443
                 160,            0.041103,            0.063994,                   0,             0.50794,             0.63918,             0.56205,             0.22203,             0.05046,            0.097716,                   0,           0.0019014,           0.0019014,           0.0019014
                 161,            0.042371,            0.066448,                   0,             0.53613,             0.60825,             0.56044,             0.22498,            0.050486,            0.097212,                   0,           0.0018594,           0.0018594,           0.0018594
                 162,            0.041443,             0.07261,                   0,             0.51289,             0.59794,             0.55492,             0.22763,            0.049833,             0.10362,                   0,           0.0018183,           0.0018183,           0.0018183
                 163,            0.042267,            0.066981,                   0,             0.51289,             0.59794,             0.55492,             0.22763,            0.049833,             0.10362,                   0,           0.0017781,           0.0017781,           0.0017781
                 164,            0.042359,            0.066729,                   0,             0.59503,             0.51503,             0.53787,             0.22159,            0.050558,             0.10397,                   0,           0.0017389,           0.0017389,           0.0017389
